,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,100,0.002,-1334.3239615732111,-1334.3239615732111,-1422.685819066849,83,83
0,100,0.002,-1346.1589570259612,-1346.1199873221085,-1447.5399846001253,77,78
0,100,0.002,-1311.118121457128,-1311.093610104305,-1365.024800241563,87,88
0,100,0.002,-1325.3906515538808,-1325.2586596998897,-1398.2622135598745,81,83
0,100,0.002,-1331.6098626917837,-1331.6098626917837,-1420.9064946946555,79,79
0,100,0.002,-1298.2457556721324,-1298.2457556721324,-1382.8901222273116,77,77
0,100,0.002,-1285.4182760932517,-1285.4182760932517,-1387.6880800345564,81,81
0,100,0.002,-1319.4960694930598,-1319.344979155772,-1432.3502400724383,96,97
0,100,0.002,-1317.2732909709744,-1317.1240830858483,-1406.0598753183056,85,87
0,100,0.002,-1267.276753174936,-1263.4242428517352,-1364.3831357368178,84,86
0,300,0.002,-3547.9585307245115,-3548.574980651941,-3611.095471008721,75,76
0,300,0.002,-3513.07634137836,-3513.07634137836,-3562.5525812579826,78,78
0,300,0.002,-3624.559941711595,-3624.559941711595,-3666.980255442897,73,73
0,300,0.002,-3628.9278243693307,-3628.9278243693307,-3656.673859879003,75,75
0,300,0.002,-3646.2699415617067,-3646.2699415617067,-3720.7216757761294,65,65
0,300,0.002,-3603.9018796692176,-3607.7612950086973,-3668.299012578543,62,65
0,300,0.002,-3574.6424059713086,-3574.3667023493135,-3618.8656895646045,66,67
0,300,0.002,-3676.311656278551,-3676.067185046122,-3696.94120909196,63,64
0,300,0.002,-3448.048000232604,-3447.7501214383938,-3530.7863433979887,74,75
0,300,0.002,-3713.0094669484683,-3713.009466948469,-3723.5308176743006,78,79
0,500,0.002,-5798.405241979265,-5798.405241979266,-5811.925255797297,70,70
0,500,0.002,-5781.012449154645,-5781.012449154645,-5823.380193767757,50,50
0,500,0.002,-5718.192581650963,-5718.192581650963,-5695.386851312954,52,52
0,500,0.002,-5938.122358433485,-5938.122358433485,-5979.455248231504,52,52
0,500,0.002,-5864.652228165668,-5867.720307500694,-5856.2667539573795,67,68
0,500,0.002,-5780.462067637151,-5780.462067637151,-5804.872572734931,59,59
0,500,0.002,-5948.564183454083,-5948.564183454083,-5973.741816467704,59,59
0,500,0.002,-5828.713039473121,-5828.713039473121,-5858.473616440875,60,60
0,500,0.002,-5624.232538169821,-5624.232538169821,-5666.435999359716,54,54
0,500,0.002,-5860.121250707676,-5860.121250707676,-5859.700241546168,52,52
0,800,0.002,-9128.900690508714,-9128.838281175493,-9069.021494352291,60,61
0,800,0.002,-8968.358078521693,-8968.358078521693,-8879.057452916262,56,56
0,800,0.002,-8984.46927317819,-8984.46927317819,-8962.573719303246,58,58
0,800,0.002,-8949.348793899606,-8949.348793899606,-8994.262368220836,48,48
0,800,0.002,-9130.314900426994,-9130.314900426994,-9094.330608290878,49,49
0,800,0.002,-9423.257278028152,-9423.257278028152,-9371.013172545623,47,47
0,800,0.002,-8965.234040609725,-8965.234040609725,-8908.33246967862,61,61
0,800,0.002,-8923.365537731286,-8923.365537731286,-8946.431456827124,64,64
0,800,0.002,-8733.461908036925,-8733.930764079734,-8641.236741030545,62,63
0,800,0.002,-9187.235914588367,-9187.662124072267,-9154.056107074653,53,58
0,1000,0.002,-11013.718474244684,-11013.71693151278,-10938.371267671975,58,59
0,1000,0.002,-11011.164032888584,-11012.790285450692,-11003.88358890502,48,47
0,1000,0.002,-11279.262903029507,-11279.229399474467,-11249.546026957456,50,51
0,1000,0.002,-11063.867164094803,-11064.012233953299,-11034.211926152555,45,46
0,1000,0.002,-10899.955051198525,-10899.955051198525,-10939.334400265687,50,50
0,1000,0.002,-11140.885766316253,-11140.885766316253,-11054.890208315124,52,52
0,1000,0.002,-11234.2472642644,-11234.2472642644,-11173.458352008623,53,53
0,1000,0.002,-11158.962878512171,-11158.962161406283,-11161.672495669864,50,51
0,1000,0.002,-11003.426999422185,-11003.426999422185,-10955.252655677474,51,51
0,1000,0.002,-11174.705040823386,-11174.705040823386,-11144.146984925204,61,61
0,3000,0.002,-32489.580438322584,-32489.580438322584,-32276.031709967618,36,36
0,3000,0.002,-32326.59696876108,-32326.59696876108,-32108.58527066688,49,49
0,3000,0.002,-32439.113349562365,-32439.113349562365,-32317.924333977415,41,41
0,3000,0.002,-32100.871552297103,-32100.871552297103,-31898.83954227834,54,54
0,3000,0.002,-32783.83339942869,-32783.83339942869,-32476.754742311918,58,58
0,3000,0.002,-32717.739848063324,-32717.739848063324,-32577.070589693576,39,39
0,3000,0.002,-32190.532091356552,-32190.532091356552,-32006.9299488449,52,52
0,3000,0.002,-32099.406279081704,-32099.406279081704,-31904.500904351837,44,44
0,3000,0.002,-31931.770752160777,-31931.770752160777,-31743.763782461996,56,56
0,3000,0.002,-32751.091744467052,-32751.091744467052,-32298.528050360466,49,49
0,5000,0.002,-53914.159288569856,-53914.159288569856,-53561.90848750811,49,49
0,5000,0.002,-52957.377253313636,-52957.377253313636,-52640.80844676293,45,45
0,5000,0.002,-53992.921759893325,-53992.921759893325,-53649.44328710839,48,48
0,5000,0.002,-53306.31142728415,-53306.31142728415,-53229.66890311072,35,35
0,5000,0.002,-53680.05630845965,-53680.05630845965,-53008.02723138407,54,54
0,5000,0.002,-53196.67274931781,-53196.67274931781,-52892.16211838173,40,40
0,5000,0.002,-53645.56355840657,-53645.56355840657,-53336.60475022712,41,41
0,5000,0.002,-52996.54469075287,-52996.54469075287,-52764.19909814433,44,44
0,5000,0.002,-53790.421308142584,-53790.421308142584,-53600.935165040246,35,35
0,5000,0.002,-53551.77933041462,-53551.77933041462,-53205.68014689224,41,41
