,Unnamed: 0,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,0,100,0.08,-829.520349916315,-829.520349916315,-836.8591095326241,21,21
1,0,100,0.08,-814.7096294392594,-814.7096294392594,-825.0977271278066,22,22
2,0,100,0.08,-851.4015926727031,-851.4015926727031,-857.9492164912363,17,19
3,0,100,0.08,-840.0542767173008,-839.2660461825044,-851.6809827691221,15,16
4,0,100,0.08,-823.9862106199869,-823.9862106199869,-841.9504448670322,22,22
5,0,100,0.08,-883.574589145517,-883.574589145517,-896.1276000295481,18,18
6,0,100,0.08,-795.1272561221353,-795.1272561221353,-812.901717881206,23,23
7,0,100,0.08,-839.3887723766288,-839.3887723766288,-860.1345130465276,18,18
8,0,100,0.08,-843.3596075187401,-843.3596075187401,-855.6474698798764,26,26
9,0,100,0.08,-848.1089940947454,-846.9008892231499,-862.8639003732227,21,20
10,0,300,0.08,-2350.001882591517,-2350.001882591517,-2336.1871446270984,16,16
11,0,300,0.08,-2348.822447995186,-2348.822447995186,-2346.480213442192,13,13
12,0,300,0.08,-2323.9080087734824,-2331.390256150887,-2326.2667889059094,12,18
13,0,300,0.08,-2341.1085751924525,-2341.1085751924525,-2345.525981732248,15,15
14,0,300,0.08,-2318.275818172852,-2318.275818172852,-2312.350880367688,12,12
15,0,300,0.08,-2390.3491404137694,-2390.3491404137694,-2393.249515075942,13,13
16,0,300,0.08,-2382.034924718593,-2382.034924718593,-2387.975181264284,7,7
17,0,300,0.08,-2362.0202391819803,-2362.0202391819803,-2355.954183533732,14,14
18,0,300,0.08,-2324.120276829916,-2324.120276829916,-2326.0446850036865,16,16
19,0,300,0.08,-2350.327383323728,-2350.327383323728,-2351.031540192881,18,18
20,0,500,0.08,-3803.6226297312564,-3803.6226297312564,-3795.683799365703,20,20
21,0,500,0.08,-3828.7927222689277,-3828.7927222689277,-3816.537120188504,19,19
22,0,500,0.08,-3822.195723535428,-3824.521395555846,-3812.578087072099,20,17
23,0,500,0.08,-3759.873951430306,-3777.7147372527184,-3760.974345187394,13,18
24,0,500,0.08,-3870.6824777577176,-3870.6824777577167,-3854.1739083435455,13,19
25,0,500,0.08,-3789.0491018664775,-3789.0491018664775,-3777.4881091767566,21,21
26,0,500,0.08,-3816.211065946573,-3812.5763601333797,-3809.2565273572773,16,19
27,0,500,0.08,-3869.2001880897706,-3869.2001880897706,-3864.951738956716,18,18
28,0,500,0.08,-3850.3319847763505,-3850.3319847763505,-3846.825746517478,15,17
29,0,500,0.08,-3885.6686756451636,-3885.6686756451636,-3885.6686756451636,6,6
30,0,800,0.08,-5985.2880040386935,-5985.2880040386935,-5966.22096431623,11,11
31,0,800,0.08,-5939.774011001353,-5939.774011001353,-5930.257195368038,15,15
32,0,800,0.08,-6102.432679081207,-6102.432679081207,-6072.826434300941,15,15
33,0,800,0.08,-6001.036290349696,-6001.036290349696,-5969.142432922153,19,19
34,0,800,0.08,-6067.495705275108,-6067.495705275107,-6050.217619315645,13,19
35,0,800,0.08,-6065.313330857963,-6065.313330857963,-6045.508460432587,15,15
36,0,800,0.08,-5949.415677610956,-5949.415677610955,-5933.760644004096,15,17
37,0,800,0.08,-6023.846365632698,-6023.846365632697,-6008.224127350256,9,15
38,0,800,0.08,-6044.075077965038,-6044.075077965038,-6020.890785594924,11,11
39,0,800,0.08,-6080.091053232704,-6080.091053232704,-6050.054067443587,16,16
40,0,1000,0.08,-7548.554122176176,-7548.554122176176,-7527.484895587944,17,17
41,0,1000,0.08,-7486.765634932961,-7486.765634932961,-7467.69735311077,13,13
42,0,1000,0.08,-7492.964048027933,-7492.964048027933,-7471.252386931577,17,17
43,0,1000,0.08,-7349.085511557779,-7349.085511557779,-7329.098441860779,15,15
44,0,1000,0.08,-7471.3407463768435,-7467.755595449023,-7409.202510849542,17,18
45,0,1000,0.08,-7436.403366582533,-7436.403366582533,-7383.032960681837,20,20
46,0,1000,0.08,-7475.707858297967,-7475.707858297967,-7458.851678602583,17,17
47,0,1000,0.08,-7500.45302968659,-7500.45302968659,-7481.084797118846,13,13
48,0,1000,0.08,-7529.180832945264,-7529.180832945265,-7507.510704121771,17,19
49,0,1000,0.08,-7517.422770209035,-7516.876959435343,-7444.450446088779,21,22
50,0,3000,0.08,-21740.16039961596,-21740.16039961596,-21713.710598517504,17,23
51,0,3000,0.08,-21848.17967775248,-21848.179677752472,-21822.503104954303,13,19
52,0,3000,0.08,-21888.69150135764,-21888.69150135764,-21888.691501357636,12,12
53,0,3000,0.08,-21644.68479046245,-21644.68479046245,-21644.68479046245,4,4
54,0,3000,0.08,-21697.641842533427,-21697.641842533427,-21697.64184253343,12,12
55,0,3000,0.08,-21955.44163256073,-21955.44163256073,-21904.686179886863,13,15
56,0,3000,0.08,-21926.211115451068,-21926.21111545107,-21895.6342797248,13,19
57,0,3000,0.08,-21875.2565232136,-21875.256523213597,-21852.162262378864,13,19
58,0,3000,0.08,-22006.282385260354,-22006.282385260354,-21951.86386540411,13,15
59,0,3000,0.08,-21856.310540737308,-21856.310540737308,-21831.485198148803,15,15
60,0,5000,0.08,-36425.14435937885,-36425.14435937885,-36357.28271595402,14,14
61,0,5000,0.08,-36407.77214018965,-36407.77214018965,-36369.75221603512,15,17
62,0,5000,0.08,-36367.66351837969,-36367.66351837969,-36329.05245812454,11,17
63,0,5000,0.08,-36206.88524201161,-36206.88524201161,-36169.30755070453,15,17
64,0,5000,0.08,-36448.84650568188,-36448.84650568188,-36408.99471605579,13,13
65,0,5000,0.08,-36326.89923914294,-36326.89923914294,-36292.40759159808,11,11
66,0,5000,0.08,-36255.97214325516,-36255.97214325516,-36255.97214325516,12,12
67,0,5000,0.08,-36376.89597439714,-36376.89597439714,-36328.4624395893,14,14
68,0,5000,0.08,-36383.73792868087,-36383.73792868087,-36330.97910372912,14,14
69,0,5000,0.08,-36255.061663878,-36255.061663878,-36222.94928150009,19,19
